Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
Cisco,Catalyst 8300-2N2S-4T2X,C8300-2N2S-4T2X,[Cisco 8000 Series Routers Data Sheet](https://www.cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/datasheet-c78-744088.html),"GigabitEthernet0/0/0, GigabitEthernet0/0/1, GigabitEthernet0/0/2, GigabitEthernet0/0/3, TenGigabitEthernet0/0/4, TenGigabitEthernet0/0/5",con0,,
Cisco,N540X-12Z16G-SYS-A,N540X-12Z16G-SYS-A,,"GigabitEthernet0/0/0/0, GigabitEthernet0/0/0/1, GigabitEthernet0/0/0/2, GigabitEthernet0/0/0/3, GigabitEthernet0/0/0/4, GigabitEthernet0/0/0/5, GigabitEthernet0/0/0/6, GigabitEthernet0/0/0/7, GigabitEthernet0/0/0/8, GigabitEthernet0/0/0/9, GigabitEthernet0/0/0/10, GigabitEthernet0/0/0/11, GigabitEthernet0/0/0/12, GigabitEthernet0/0/0/13, GigabitEthernet0/0/0/14, GigabitEthernet0/0/0/15, TenGigabitEthernet0/0/0/16, TenGigabitEthernet0/0/0/17, TenGigabitEthernet0/0/0/18, TenGigabitEthernet0/0/0/19, TenGigabitEthernet0/0/0/20, TenGigabitEthernet0/0/0/21, TenGigabitEthernet0/0/0/22, TenGigabitEthernet0/0/0/23, TenGigabitEthernet0/0/0/24, TenGigabitEthernet0/0/0/25, TenGigabitEthernet0/0/0/26, TenGigabitEthernet0/0/0/27, MgmtEth0/RP0/CPU0/0",con0,PSU0,
Cisco,N7K-C7010,N7K-C7010,,,"con0, con1",,
Cisco,NCS-5508,NCS-5508,[Hardware Installation Guide for Cisco NCS 5500 Series Modular Routers](https://www.cisco.com/c/en/us/td/docs/iosxr/ncs5500/hardware-install/b-ncs5500-hardware-installation-guide.html),,,,
Cisco,ISR 1111-8PLTELAWQ,C1111-8PLTELAWQ,,"GigabitEthernet0/0/0, GigabitEthernet0/0/1, GigabitEthernet0/1/0, GigabitEthernet0/1/1, GigabitEthernet0/1/2, GigabitEthernet0/1/3, GigabitEthernet0/1/4, GigabitEthernet0/1/5, GigabitEthernet0/1/6, GigabitEthernet0/1/7, Wlan-GigabitEthernet0/1/8, Cellular0/2/0, Cellular0/2/1","con 0, usb",PSU0,
Cisco,Nexus 9332PQ,N9K-C9332PQ,,"Ethernet1/1, Ethernet1/2, Ethernet1/3, Ethernet1/4, Ethernet1/5, Ethernet1/6, Ethernet1/7, Ethernet1/8, Ethernet1/9, Ethernet1/10, Ethernet1/11, Ethernet1/12, Ethernet1/13, Ethernet1/14, Ethernet1/15, Ethernet1/16, Ethernet1/17, Ethernet1/18, Ethernet1/19, Ethernet1/20, Ethernet1/21, Ethernet1/22, Ethernet1/23, Ethernet1/24, Ethernet1/25, Ethernet1/26, Ethernet1/27, Ethernet1/28, Ethernet1/29, Ethernet1/30, Ethernet1/31, Ethernet1/32, mgmt0","console, usb1",,
Cisco,N2K-C2348UPQ-10GE,N2K-C2348UPQ,,"Ethernet1/1/1, Ethernet1/1/2, Ethernet1/1/3, Ethernet1/1/4, Ethernet1/1/5, Ethernet1/1/6, Ethernet1/1/7, Ethernet1/1/8, Ethernet1/1/9, Ethernet1/1/10, Ethernet1/1/11, Ethernet1/1/12, Ethernet1/1/13, Ethernet1/1/14, Ethernet1/1/15, Ethernet1/1/16, Ethernet1/1/17, Ethernet1/1/18, Ethernet1/1/19, Ethernet1/1/20, Ethernet1/1/21, Ethernet1/1/22, Ethernet1/1/23, Ethernet1/1/24, Ethernet1/1/25, Ethernet1/1/26, Ethernet1/1/27, Ethernet1/1/28, Ethernet1/1/29, Ethernet1/1/30, Ethernet1/1/31, Ethernet1/1/32, Ethernet1/1/33, Ethernet1/1/34, Ethernet1/1/35, Ethernet1/1/36, Ethernet1/1/37, Ethernet1/1/38, Ethernet1/1/39, Ethernet1/1/40, Ethernet1/1/41, Ethernet1/1/42, Ethernet1/1/43, Ethernet1/1/44, Ethernet1/1/45, Ethernet1/1/46, Ethernet1/1/47, Ethernet1/1/48, Ethernet1/1, Ethernet1/2, Ethernet1/2/1, Ethernet1/2/2, Ethernet1/2/3, Ethernet1/2/4",,,
Cisco,Catalyst 9500X-60L4D,,"Cisco Catalyst 9500X-60L4D is a high-performance 1RU core and aggregation layer switch designed for enterprise and data center deployments. It features 60x 1/10/25G multi-rate SFP28 ports and 4x 40/100G QSFP28 uplinks, running Cisco IOS XE and supporting advanced routing, segmentation, and telemetry.
","TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2, TenGigabitEthernet1/0/3, TenGigabitEthernet1/0/4, TenGigabitEthernet1/0/5, TenGigabitEthernet1/0/6, TenGigabitEthernet1/0/7, TenGigabitEthernet1/0/8, TenGigabitEthernet1/0/9, TenGigabitEthernet1/0/10, TenGigabitEthernet1/0/11, TenGigabitEthernet1/0/12, TenGigabitEthernet1/0/13, TenGigabitEthernet1/0/14, TenGigabitEthernet1/0/15, TenGigabitEthernet1/0/16, TenGigabitEthernet1/0/17, TenGigabitEthernet1/0/18, TenGigabitEthernet1/0/19, TenGigabitEthernet1/0/20, TenGigabitEthernet1/0/21, TenGigabitEthernet1/0/22, TenGigabitEthernet1/0/23, TenGigabitEthernet1/0/24, TenGigabitEthernet1/0/25, TenGigabitEthernet1/0/26, TenGigabitEthernet1/0/27, TenGigabitEthernet1/0/28, TenGigabitEthernet1/0/29, TenGigabitEthernet1/0/30, TenGigabitEthernet1/0/31, TenGigabitEthernet1/0/32, TenGigabitEthernet1/0/33, TenGigabitEthernet1/0/34, TenGigabitEthernet1/0/35, TenGigabitEthernet1/0/36, TenGigabitEthernet1/0/37, TenGigabitEthernet1/0/38, TenGigabitEthernet1/0/39, TenGigabitEthernet1/0/40, TenGigabitEthernet1/0/41, TenGigabitEthernet1/0/42, TenGigabitEthernet1/0/43, TenGigabitEthernet1/0/44, TenGigabitEthernet1/0/45, TenGigabitEthernet1/0/46, TenGigabitEthernet1/0/47, TenGigabitEthernet1/0/48, TenGigabitEthernet1/0/49, TenGigabitEthernet1/0/50, TenGigabitEthernet1/0/51, TenGigabitEthernet1/0/52, TenGigabitEthernet1/0/53, TenGigabitEthernet1/0/54, TenGigabitEthernet1/0/55, TenGigabitEthernet1/0/56, TenGigabitEthernet1/0/57, TenGigabitEthernet1/0/58, TenGigabitEthernet1/0/59, TenGigabitEthernet1/0/60, FortyGigE1/0/1, FortyGigE1/0/2, FortyGigE1/0/3, FortyGigE1/0/4",,,
Cisco,UCS-C240-M3L,UCS-C240M3L,,"Ethernet0, Ethernet1, Ethernet2, Ethernet3, CIMC",Console,,
Cisco,Catalyst 3560-CX-8XPD-S,WS-C3560CX-8XPD-S,,"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, TenGigabitEthernet1/0/7, TenGigabitEthernet1/0/8, TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2","con0, con1",PSU0,
Cisco,FPR1120-NGFW-K9,FPR1120-NGFW-K9,[Cisco Firepower 1000 Series Data Sheet](https://www.cisco.com/c/en/us/products/collateral/security/firepower-1000-series/datasheet-c78-742469.html),"Ethernet1/1, Ethernet1/2, Ethernet1/3, Ethernet1/4, Ethernet1/5, Ethernet1/6, Ethernet1/7, Ethernet1/8, Ethernet1/9, Ethernet1/10, Ethernet1/11, Ethernet1/12, Management1/1","Console, usb",PSU,
Cisco,Catalyst 9300-48UXM,C9300-48UXM,[Cisco Catalyst 9300 Series Switches Data Sheet](https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html),"GigabitEthernet0/0, TwoGigabitEthernet1/0/1, TwoGigabitEthernet1/0/2, TwoGigabitEthernet1/0/3, TwoGigabitEthernet1/0/4, TwoGigabitEthernet1/0/5, TwoGigabitEthernet1/0/6, TwoGigabitEthernet1/0/7, TwoGigabitEthernet1/0/8, TwoGigabitEthernet1/0/9, TwoGigabitEthernet1/0/10, TwoGigabitEthernet1/0/11, TwoGigabitEthernet1/0/12, TwoGigabitEthernet1/0/13, TwoGigabitEthernet1/0/14, TwoGigabitEthernet1/0/15, TwoGigabitEthernet1/0/16, TwoGigabitEthernet1/0/17, TwoGigabitEthernet1/0/18, TwoGigabitEthernet1/0/19, TwoGigabitEthernet1/0/20, TwoGigabitEthernet1/0/21, TwoGigabitEthernet1/0/22, TwoGigabitEthernet1/0/23, TwoGigabitEthernet1/0/24, TwoGigabitEthernet1/0/25, TwoGigabitEthernet1/0/26, TwoGigabitEthernet1/0/27, TwoGigabitEthernet1/0/28, TwoGigabitEthernet1/0/29, TwoGigabitEthernet1/0/30, TwoGigabitEthernet1/0/31, TwoGigabitEthernet1/0/32, TwoGigabitEthernet1/0/33, TwoGigabitEthernet1/0/34, TwoGigabitEthernet1/0/35, TwoGigabitEthernet1/0/36, TenGigabitEthernet1/0/37, TenGigabitEthernet1/0/38, TenGigabitEthernet1/0/39, TenGigabitEthernet1/0/40, TenGigabitEthernet1/0/41, TenGigabitEthernet1/0/42, TenGigabitEthernet1/0/43, TenGigabitEthernet1/0/44, TenGigabitEthernet1/0/45, TenGigabitEthernet1/0/46, TenGigabitEthernet1/0/47, TenGigabitEthernet1/0/48, StackPort1/1, StackPort1/2","con 0, usb",,
Cisco,ASR1006,ASR1006,,,"Con 0, Con 1","PS1, PS2",
Cisco,Catalyst 3560X-48PF-S,WS-C3560X-48PF-S,,"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, GigabitEthernet1/1/1, GigabitEthernet1/1/2",con0,,
Cisco,Catalyst 1300-48P-4X,C1300-48P-4X,[Catalyst 1300 Datasheet](https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-1300-series-switches/nb-06-cat1300-ser-data-sheet-cte-en.html),"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2, TenGigabitEthernet1/0/3, TenGigabitEthernet1/0/4, Vlan1","con0, con1, con2",PSU0,
Cisco,Catalyst 2960-8PC-L,WS-C2960C-8PC-L,,"FastEthernet0/1, FastEthernet0/2, FastEthernet0/3, FastEthernet0/4, FastEthernet0/5, FastEthernet0/6, FastEthernet0/7, FastEthernet0/8, GigabitEthernet0/1, GigabitEthernet0/2",,PSU0,
Cisco,Meraki MS150-48MP-4X,MS150-48MP-4X,[MS150 Overview and Datasheet](https://documentation.meraki.com/MS/MS_Overview_and_Specifications/MS150_Datasheet),"Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, Port 49, Port 50, Port 51, Port 52, Management, Dedicated Stack Port 1, Dedicated Stack Port 2",,Slot 1,
Cisco,SG550X-48,SG550X-48-K9,[SG550X Series Datasheet](https://www.cisco.com/c/en/us/products/collateral/switches/550x-series-stackable-managed-switches/datasheet-c78-735874.html),"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TengigabitEthernet1/0/1, TengigabitEthernet1/0/2, TengigabitEthernet1/0/3, TengigabitEthernet1/0/4, Port-Channel1, Port-Channel2, Port-Channel3, Port-Channel4, Port-Channel5, Port-Channel6, Port-Channel7, Port-Channel8, Port-Channel9, Port-Channel10, Port-Channel11, Port-Channel12, Port-Channel13, Port-Channel14, Port-Channel15, Port-Channel16, Port-Channel17, Port-Channel18, Port-Channel19, Port-Channel20, Port-Channel21, Port-Channel22, Port-Channel23, Port-Channel24, Port-Channel25, Port-Channel26, Port-Channel27, Port-Channel28, Port-Channel29, Port-Channel30, Port-Channel31, Port-Channel32, vlan 1",con 0,PS A,
Cisco,Aironet 3802E-B,AIR-AP3802E-B-K9,[Cisco Aironet 3800 Series Access Points Data Sheet](https://www.cisco.com/c/en/us/products/collateral/wireless/aironet-3800-series-access-points/datasheet-c78-741682.html),"GigabitEthernet0, GigabitEthernet1, GigabitEthernet3, Dot11Radio0, Dot11Radio1",Con,,
Cisco,Catalyst 1000-48P-4X-L,C1000-48P-4X-L,[Cisco Catalyst 1000 Series Switches Data Sheet](https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-1000-series-switches/nb-06-cat1k-ser-switch-ds-cte-en.html),"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2, TenGigabitEthernet1/0/3, TenGigabitEthernet1/0/4, Vlan1","con0, USB con0",PSU1,
Cisco,Catalyst 2960-12PC-L,WS-C2960C-12PC-L,,"FastEthernet0/1, FastEthernet0/2, FastEthernet0/3, FastEthernet0/4, FastEthernet0/5, FastEthernet0/6, FastEthernet0/7, FastEthernet0/8, FastEthernet0/9, FastEthernet0/10, FastEthernet0/11, FastEthernet0/12, GigabitEthernet0/1, GigabitEthernet0/2",,PSU0,
Cisco,Catalyst 9200L-48P-4G-E,C9200L-48P-4G-E,[Cisco Catalyst 9200 Series Switches Data Sheet](https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9200-series-switches/nb-06-cat9200-ser-data-sheet-cte-en.html),"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, GigabitEthernet1/1/1, GigabitEthernet1/1/2, GigabitEthernet1/1/3, GigabitEthernet1/1/4, StackPort1/1, StackPort1/2, GigabitEthernet0/0","Console, usb","PS-1, PS-2",
Cisco,Catalyst 3850-48XS-E,WS-C3850-48XS-E,[Cisco Catalyst 3850 Series Switches Data Sheet](https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html),"GigabitEthernet0/0, TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2, TenGigabitEthernet1/0/3, TenGigabitEthernet1/0/4, TenGigabitEthernet1/0/5, TenGigabitEthernet1/0/6, TenGigabitEthernet1/0/7, TenGigabitEthernet1/0/8, TenGigabitEthernet1/0/9, TenGigabitEthernet1/0/10, TenGigabitEthernet1/0/11, TenGigabitEthernet1/0/12, TenGigabitEthernet1/0/13, TenGigabitEthernet1/0/14, TenGigabitEthernet1/0/15, TenGigabitEthernet1/0/16, TenGigabitEthernet1/0/17, TenGigabitEthernet1/0/18, TenGigabitEthernet1/0/19, TenGigabitEthernet1/0/20, TenGigabitEthernet1/0/21, TenGigabitEthernet1/0/22, TenGigabitEthernet1/0/23, TenGigabitEthernet1/0/24, TenGigabitEthernet1/0/25, TenGigabitEthernet1/0/26, TenGigabitEthernet1/0/27, TenGigabitEthernet1/0/28, TenGigabitEthernet1/0/29, TenGigabitEthernet1/0/30, TenGigabitEthernet1/0/31, TenGigabitEthernet1/0/32, TenGigabitEthernet1/0/33, TenGigabitEthernet1/0/34, TenGigabitEthernet1/0/35, TenGigabitEthernet1/0/36, TenGigabitEthernet1/0/37, TenGigabitEthernet1/0/38, TenGigabitEthernet1/0/39, TenGigabitEthernet1/0/40, TenGigabitEthernet1/0/41, TenGigabitEthernet1/0/42, TenGigabitEthernet1/0/43, TenGigabitEthernet1/0/44, TenGigabitEthernet1/0/45, TenGigabitEthernet1/0/46, TenGigabitEthernet1/0/47, TenGigabitEthernet1/0/48","con0, usb0",,
Cisco,WS-C2950-24,WS-C2950-24,,"FastEthernet0/1, FastEthernet0/2, FastEthernet0/3, FastEthernet0/4, FastEthernet0/5, FastEthernet0/6, FastEthernet0/7, FastEthernet0/8, FastEthernet0/9, FastEthernet0/10, FastEthernet0/11, FastEthernet0/12, FastEthernet0/13, FastEthernet0/14, FastEthernet0/15, FastEthernet0/16, FastEthernet0/17, FastEthernet0/18, FastEthernet0/19, FastEthernet0/20, FastEthernet0/21, FastEthernet0/22, FastEthernet0/23, FastEthernet0/24",con 0,POWER,
Cisco,Meraki MR56,MR56,"- Datasheet: [https://documentation.meraki.com/MR/MR_Overview_and_Specifications/MR56_Datasheet](https://documentation.meraki.com/MR/MR_Overview_and_Specifications/MR56_Datasheet)
- IEEE Standards: 802.11a, 802.11ac, 802.11ax, 802.11b, 802.11e, 802.11g, 802.11h, 802.11i, 802.11k, 802.11n, 802.11r, and 802.11u","main, wlan0, wlan1",,,
Cisco,Nexus 9316D-GX,N9K-C9316D-GX,,"Ethernet1/1, Ethernet1/2, Ethernet1/3, Ethernet1/4, Ethernet1/5, Ethernet1/6, Ethernet1/7, Ethernet1/8, Ethernet1/9, Ethernet1/10, Ethernet1/11, Ethernet1/12, Ethernet1/13, Ethernet1/14, Ethernet1/15, Ethernet1/16, mgmt0",console,,
Cisco,Catalyst 2960X-48TD-L,WS-C2960X-48TD-L,LAN Base feature set,"FastEthernet0, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, GigabitEthernet1/0/49, GigabitEthernet1/0/50, TenGigabitEthernet1/0/1, TenGigabitEthernet1/0/2",con 0,PSU0,
Cisco,Catalyst 2360,WS-C2360-48TD-S,,"FastEthernet0, GigabitEthernet0/1, GigabitEthernet0/2, GigabitEthernet0/3, GigabitEthernet0/4, GigabitEthernet0/5, GigabitEthernet0/6, GigabitEthernet0/7, GigabitEthernet0/8, GigabitEthernet0/9, GigabitEthernet0/10, GigabitEthernet0/11, GigabitEthernet0/12, GigabitEthernet0/13, GigabitEthernet0/14, GigabitEthernet0/15, GigabitEthernet0/16, GigabitEthernet0/17, GigabitEthernet0/18, GigabitEthernet0/19, GigabitEthernet0/20, GigabitEthernet0/21, GigabitEthernet0/22, GigabitEthernet0/23, GigabitEthernet0/24, GigabitEthernet0/25, GigabitEthernet0/26, GigabitEthernet0/27, GigabitEthernet0/28, GigabitEthernet0/29, GigabitEthernet0/30, GigabitEthernet0/31, GigabitEthernet0/32, GigabitEthernet0/33, GigabitEthernet0/34, GigabitEthernet0/35, GigabitEthernet0/36, GigabitEthernet0/37, GigabitEthernet0/38, GigabitEthernet0/39, GigabitEthernet0/40, GigabitEthernet0/41, GigabitEthernet0/42, GigabitEthernet0/43, GigabitEthernet0/44, GigabitEthernet0/45, GigabitEthernet0/46, GigabitEthernet0/47, GigabitEthernet0/48, GigabitEthernet0/49, GigabitEthernet0/50, GigabitEthernet0/51, GigabitEthernet0/52, TenGigabitEthernet0/1, TenGigabitEthernet0/2, TenGigabitEthernet0/3, TenGigabitEthernet0/4",con0,"1A, 1B",
Cisco,Nexus 5648Q Chassis,N5K-C5648Q,,"mgmt0, Ethernet1/1, Ethernet1/2, Ethernet1/3, Ethernet1/4, Ethernet1/5, Ethernet1/6, Ethernet1/7, Ethernet1/8, Ethernet1/9, Ethernet1/10, Ethernet1/11, Ethernet1/12, Ethernet2/1, Ethernet2/2, Ethernet2/3, Ethernet2/4, Ethernet2/5, Ethernet2/6, Ethernet2/7, Ethernet2/8, Ethernet2/9, Ethernet2/10, Ethernet2/11, Ethernet2/12",Console,,
